id,idade,horas_estudo,nota,faltas,tempo_transporte,grupo
58,17,14.0,0.9,12,32,B
59,14,9.0,9.5,3,114,A
60,15,14.0,1.6,3,63,B
61,17,7.0,6.2,7,83,A
62,19,2.0,1.5,12,84,C
63,15,3.0,4.4,18,108,C
64,14,10.0,1.3,3,62,C
65,15,14.0,2.9,8,52,B
66,16,14.0,5.8,3,70,A
67,17,13.0,3.6,9,87,B
68,14,13.0,8.5,4,5,B
69,15,8.0,5.1,7,27,C
70,17,14.0,4.1,10,110,C
71,14,7.0,0.4,5,59,C
72,18,5.0,0.5,10,60,A
73,19,1.0,5.8,11,18,A
74,16,0.0,2.7,1,85,C
75,18,13.0,3.4,10,50,B
76,14,1.0,2.9,5,87,B
77,16,7.0,9.6,4,9,B
78,16,11.0,2.3,3,10,C
79,15,1.0,8.6,8,34,A
80,15,9.0,5.5,13,96,C
81,16,5.0,7.7,18,105,B
82,18,13.0,9.7,8,88,C
83,14,9.0,9.9,18,72,B
84,15,13.0,3.7,19,85,C
85,15,0.0,9.6,17,51,B
86,18,14.0,6.3,11,86,A
87,17,8.0,2.0,4,112,A
88,16,2.0,5.1,5,37,C
89,18,10.0,5.4,15,49,B
90,16,3.0,6.5,16,9,C
91,15,12.0,9.3,17,118,C
92,19,12.0,2.8,12,94,C
93,17,8.0,3.1,2,13,B
94,15,3.0,6.6,14,54,A
95,15,7.0,6.0,12,17,A
96,19,10.0,10.0,19,14,C
97,15,10.0,1.9,19,115,B
98,15,13.0,8.0,0,107,A
99,18,8.0,8.3,9,65,B
100,17,13.0,0.0,0,43,B
101,14,8.0,7.9,19,55,A
102,17,14.0,3.6,4,13,C
103,17,6.0,7.4,8,88,B
104,19,6.0,6.2,19,45,B
105,14,11.0,3.1,11,95,B
106,18,13.0,3.7,4,12,B
107,17,14.0,8.2,2,55,C
108,17,11.0,5.7,14,11,B
109,16,9.0,7.6,16,33,A
110,14,1.0,1.8,10,54,C
111,18,9.0,8.5,4,90,A
112,18,6.0,6.1,11,76,B
113,16,9.0,3.0,9,83,B
114,18,12.0,3.3,1,40,C
115,15,4.0,5.8,19,42,A
116,18,14.0,4.1,3,61,C
117,14,13.0,3.0,11,104,A
118,15,1.0,6.5,2,75,A
119,19,3.0,5.5,9,89,B
120,16,11.0,6.4,12,8,B
121,17,13.0,7.0,3,45,B
122,15,8.0,5.5,9,65,C
123,17,2.0,4.1,7,67,C
124,18,10.0,6.2,8,119,C
125,14,1.0,7.1,9,17,C
126,16,6.0,9.0,9,43,C
127,19,13.0,7.4,6,74,A
128,17,1.0,0.6,14,109,A
129,14,4.0,6.9,8,76,A
130,18,6.0,9.7,8,40,A
131,16,12.0,1.2,10,43,A
132,15,13.0,8.2,11,74,B
133,14,4.0,6.3,14,52,A
134,16,9.0,0.7,11,77,C
135,14,12.0,8.9,2,21,A
136,15,1.0,9.7,2,119,B
137,15,9.0,6.6,0,99,B
138,16,3.0,0.7,10,41,B
139,17,4.0,1.5,7,27,B
140,18,3.0,7.4,8,85,B
141,18,3.0,5.8,10,61,C
142,14,12.0,6.5,18,100,C
143,16,12.0,4.2,7,20,C
144,15,13.0,2.6,0,80,B
145,19,7.0,1.5,15,15,B
146,17,1.0,1.8,5,93,A
147,14,5.0,6.5,9,118,B
148,15,14.0,6.4,7,46,C
149,19,0.0,7.0,3,92,B
150,18,13.0,4.5,19,25,B
151,17,9.0,9.0,2,86,A
152,18,5.0,4.2,5,54,C
153,16,10.0,5.2,19,61,C
154,16,10.0,3.8,9,116,C
155,17,2.0,4.0,2,12,C
156,19,14.0,4.9,2,99,A
157,17,4.0,0.3,17,19,C
158,19,10.0,4.9,7,87,B
159,18,9.0,8.3,4,102,A
160,17,8.0,2.5,18,74,C
161,14,11.0,2.1,5,105,B
162,16,14.0,1.4,12,112,A
163,14,6.0,9.5,0,5,C
164,18,5.0,1.1,15,35,A
165,16,11.0,2.0,14,23,A
166,14,1.0,5.6,19,13,C
167,19,10.0,1.4,18,97,C
168,14,3.0,4.0,16,32,C
169,16,3.0,4.3,5,22,C
170,19,12.0,3.0,11,81,B
171,18,0.0,9.3,7,8,A
172,16,7.0,2.6,13,48,C
173,17,11.0,9.2,17,118,A
174,18,10.0,3.3,3,48,B
175,16,6.0,5.6,14,12,B
176,16,8.0,1.9,16,8,B
177,16,8.0,8.4,1,77,A
178,19,11.0,7.5,8,71,C
179,16,10.0,4.7,16,12,B
180,16,4.0,4.8,19,6,A
181,15,3.0,5.9,17,35,A
182,17,8.0,8.5,15,54,C
183,15,5.0,7.7,4,40,C
184,14,5.0,9.3,19,29,B
185,14,5.0,6.1,8,78,C
186,18,13.0,4.4,16,96,A
187,18,10.0,7.0,19,27,A
188,19,7.0,5.7,17,47,C
189,16,10.0,7.4,12,31,A
190,14,6.0,5.8,2,47,A
191,15,12.0,3.0,16,47,A
192,15,10.0,2.8,18,104,C
193,14,7.0,6.1,13,74,C
194,19,6.0,9.4,2,54,C
195,16,8.0,2.7,14,73,C
196,18,14.0,4.7,10,39,C
197,16,12.0,7.7,15,64,C
198,14,0.0,6.2,10,58,B
199,15,14.0,0.6,9,82,B
200,17,4.0,2.3,19,28,B
